AdjOE_diff,AdjDE_diff,DRB_diff,WAB_diff,y
-0.8868999999999971,-1.1744999999999948,2.5,-0.6079800000000004,0
-9.844000000000008,6.665500000000009,-3.1000000000000014,-7.85727,0
-1.4089999999999918,1.3003000000000071,2.8000000000000007,-2.37843,0
4.325000000000003,-3.561300000000003,-4.699999999999996,4.109070399999999,1
15.228000000000009,-15.295199999999994,2.1999999999999993,18.31413,1
14.259999999999991,-11.550200000000004,3.5,10.44023,1
16.405200000000008,-9.689599999999999,-1.9000000000000021,16.57814,1
6.472999999999999,0.8623999999999938,2.3000000000000043,3.0293129999999997,0
-9.369,2.6788999999999987,2.400000000000002,-9.48361,0
-2.0690000000000026,-2.5548,-4.0,2.87225,1
-9.301999999999992,4.2198999999999955,2.0,-11.84705,1
-12.203000000000003,-9.089000000000013,-0.3000000000000007,0.31417500000000004,1
6.778000000000006,4.703800000000001,-4.699999999999996,-0.6831999999999998,1
1.9809999999999945,3.8104999999999905,-0.3999999999999986,-2.4544799999999998,0
-17.123000000000005,4.791399999999996,0.5,-11.85059,0
-6.5,-0.372799999999998,1.6000000000000014,-2.7861,1
2.3670000000000044,1.78840000000001,0.7999999999999972,0.5151399999999999,0
-5.608000000000004,0.754400000000004,5.799999999999997,-1.826641,0
-9.791000000000011,-12.912800000000004,-2.0,3.41797,0
-29.9426,9.078299999999999,-4.9999999999999964,-16.34255,0
4.569999999999993,3.386899999999997,-5.800000000000004,0.44348999999999994,0
7.904000000000011,7.6869000000000085,-3.799999999999997,-0.23339,1
5.7620000000000005,-6.233599999999996,-1.7000000000000028,9.55857,1
-2.3659999999999997,11.795000000000002,5.800000000000004,-5.6946200000000005,0
0.7259999999999991,0.745599999999996,4.600000000000001,0.09741,1
17.376999999999995,-4.619500000000002,-3.1000000000000014,9.62687,1
4.39500000000001,-10.749400000000009,0.0,4.624480999999999,1
0.5109999999999957,-8.897300000000001,2.3000000000000007,5.44613,1
15.028000000000006,-9.869299999999996,0.6999999999999957,12.41324,1
3.978999999999999,5.021000000000001,-2.6999999999999993,-4.535374,0
-12.891999999999996,11.414899999999989,2.6000000000000014,-11.772689999999999,0
-11.308000000000007,2.960499999999996,2.8000000000000007,-5.5352,0
2.149000000000001,1.0956000000000046,-2.6000000000000014,3.2403980000000003,1
-12.325000000000003,-3.941500000000005,-3.0000000000000036,-4.788936,0
2.195999999999998,-6.087500000000006,-5.399999999999999,4.414243,1
-0.7190000000000083,-2.6047999999999973,5.899999999999999,2.64658,1
-7.945999999999998,4.5411,1.9000000000000021,-7.63154,0
11.512,0.2920000000000016,4.899999999999999,7.80678,0
-1.5969999999999942,2.0245999999999924,-0.8999999999999986,-3.46038,1
2.019999999999996,-8.584399999999988,-1.9000000000000057,11.47818,1
-1.8229999999999933,-4.735100000000003,5.0000000000000036,-3.79488,1
-1.9650000000000034,-9.840900000000005,-3.5,1.8159400000000003,0
-1.3299999999999983,8.695999999999998,-1.1999999999999957,-6.693440000000001,0
4.782000000000011,2.9843999999999937,8.399999999999999,-0.18596000000000013,0
8.204999999999998,1.0918000000000063,-4.300000000000004,4.27401,1
3.0360000000000014,3.433000000000007,-2.1000000000000014,-2.20385,0
6.1299999999999955,-3.5623999999999967,5.699999999999996,4.963,1
-5.1200000000000045,-0.5682000000000045,6.0,-6.416379999999999,0
-4.837999999999994,-2.1196000000000055,1.2000000000000028,0.7945499999999996,0
8.745000000000005,1.856100000000012,6.899999999999999,2.88912,0
-0.32399999999999807,3.855400000000003,-4.100000000000001,-3.8505399999999996,0
-2.5160000000000053,-12.813000000000002,1.9000000000000021,6.65935,1
4.234999999999999,-0.8938999999999879,-0.10000000000000142,6.822799999999999,1
4.527000000000001,-3.3676999999999992,2.1000000000000014,3.5160399999999994,1
12.537000000000006,1.4525000000000006,0.49999999999999645,1.8759000000000006,1
-4.030999999999992,-2.9912000000000063,-1.5999999999999979,0.38019000000000025,0
-8.542000000000002,-1.261099999999999,2.8999999999999986,-1.73307,1
7.140000000000001,2.431200000000004,6.600000000000001,2.0914099999999998,0
1.7349999999999994,3.7561000000000035,0.3000000000000007,-0.6532700000000009,1
-1.3799999999999955,6.116,0.9000000000000057,-2.866320000000001,0
4.043999999999997,2.2353999999999985,-3.8999999999999986,-0.3839299999999999,1
