Season,TeamA,TeamB,Predicted_Winner,Prob_Team_A_Wins,Prob_Team_B_Wins,AdjOE_diff,AdjDE_diff,EFG%_diff,EFGD%_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,ADJ T_diff,WAB_diff
2026,Duke,Siena,Duke,0.9944116614139509,0.005588338586049124,20.95299999999999,-18.1032,6.199999999999996,-2.3999999999999986,-0.3000000000000007,1.0,6.200000000000003,-4.199999999999999,1.1724999999999994,21.44764
2026,Duke,TCU,Duke,0.9351962827442268,0.06480371725577316,13.305999999999983,-8.83659999999999,5.899999999999999,-4.799999999999997,0.1999999999999993,-1.5999999999999979,3.700000000000003,-4.399999999999999,-1.7767000000000053,11.29545
2026,Duke,Ohio St.,Duke,0.7541111570565421,0.24588884294345792,2.9479999999999933,-10.781199999999998,0.29999999999999716,-4.099999999999994,0.29999999999999893,2.3000000000000007,7.300000000000001,-5.199999999999999,-0.3586000000000098,10.778690000000001
2026,Duke,St. John's,Duke,0.7587877180879463,0.24121228191205368,8.35499999999999,-3.287399999999991,5.799999999999997,-1.1999999999999957,1.0,-1.2999999999999972,2.200000000000003,-5.399999999999999,-3.800900000000013,6.40737
2026,Duke,Northern Iowa,Duke,0.9401465822895586,0.05985341771044139,18.38799999999999,-7.762900000000002,2.5999999999999943,-1.0,1.0999999999999996,0.0,16.1,-1.5,3.6159999999999926,18.94689
2026,Duke,Kansas,Duke,0.7759678663752496,0.22403213362475038,10.33999999999999,-3.5555999999999983,5.199999999999996,1.0,0.1999999999999993,4.100000000000001,8.600000000000001,-5.300000000000001,-1.8068000000000097,7.4019
2026,Duke,Louisville,Duke,0.7581892365730686,0.24181076342693142,4.123999999999981,-7.363099999999989,0.3999999999999986,-2.5999999999999943,-0.6999999999999993,1.4000000000000021,5.200000000000003,-2.099999999999998,-3.909400000000005,9.67072
2026,Duke,South Florida,Duke,0.9236892696133147,0.07631073038668534,11.382999999999981,-10.5762,5.899999999999999,-2.1999999999999957,0.5,-0.6999999999999993,-0.10000000000000142,-7.0,-5.598600000000005,13.925208
2026,Duke,Michigan St.,Duke,0.8004056959239918,0.1995943040760082,5.23899999999999,-5.3797,3.1999999999999957,-2.3999999999999986,-1.4000000000000021,3.3000000000000007,-0.3999999999999986,2.1999999999999993,-0.17790000000000816,6.22459
2026,Duke,North Dakota St.,Duke,0.9884625138273773,0.011537486172622735,16.731999999999985,-15.220199999999991,3.3999999999999986,-5.299999999999997,0.09999999999999964,-0.5999999999999979,4.5,-0.8999999999999986,-0.554000000000002,17.02357
2026,Duke,UCLA,Duke,0.768117878478023,0.23188212152197696,3.6019999999999897,-10.978200000000001,2.8999999999999986,-4.199999999999996,2.299999999999999,0.0,7.0,-7.599999999999998,1.1151999999999873,10.05443
